Series,ImageID,Filename,Repeat,HashMs,SignMs,EmbedMs,ExtractRecoverMs,VerifyMs,TotalMs,EmbeddingSuccess
CT-02,CT-02_image-00084,image-00084.tiff,9,1.22375,4.91691666666667,13.09,3.40833333333333,1.41166666666667,24.05275,1
CT-02,CT-02_image-00084,image-00084.tiff,10,1.231375,4.9155,12.787125,3.385875,1.41475,23.7366666666667,1
CT-02,CT-02_image-00093,image-00093.tiff,1,1.43479166666667,4.94225,12.5550833333333,3.2735,1.40991666666667,23.6187916666667,1
CT-02,CT-02_image-00093,image-00093.tiff,2,1.20741666666667,4.93904166666667,12.6872083333333,3.31670833333333,1.41104166666667,23.5637916666667,1
CT-02,CT-02_image-00093,image-00093.tiff,3,1.220625,4.98054166666667,12.7516666666667,3.25195833333333,1.400625,23.607875,1
CT-02,CT-02_image-00093,image-00093.tiff,4,1.217,4.941625,12.7205416666667,3.32995833333333,1.63045833333333,23.84425,1
CT-02,CT-02_image-00093,image-00093.tiff,5,1.313125,4.97129166666667,12.87725,3.26491666666667,1.47116666666667,23.9037083333333,1
CT-02,CT-02_image-00093,image-00093.tiff,6,1.21983333333333,4.95604166666667,12.6539166666667,3.33608333333333,1.4565,23.6254166666667,1
CT-02,CT-02_image-00093,image-00093.tiff,7,1.22933333333333,4.925125,12.730125,3.36079166666667,1.41433333333333,23.6624166666667,1
CT-02,CT-02_image-00093,image-00093.tiff,8,1.21104166666667,4.91841666666667,12.4381666666667,3.27770833333333,1.40295833333333,23.2504166666667,1
CT-02,CT-02_image-00093,image-00093.tiff,9,1.20925,4.9295,12.8453333333333,3.29816666666667,1.42329166666667,23.7075416666667,1
CT-02,CT-02_image-00093,image-00093.tiff,10,1.22175,4.92241666666667,12.7945,3.28908333333333,1.41083333333333,23.6406666666667,1
CT-02,CT-02_image-00097,image-00097.tiff,1,1.22275,4.96683333333333,12.6215833333333,3.16270833333333,1.422375,23.3990833333333,1
CT-02,CT-02_image-00097,image-00097.tiff,2,1.221875,4.91729166666667,12.5078333333333,3.20629166666667,1.4185,23.2743333333333,1
CT-02,CT-02_image-00097,image-00097.tiff,3,1.220375,4.92695833333333,12.5935416666667,3.18966666666667,1.40970833333333,23.3426666666667,1
CT-02,CT-02_image-00097,image-00097.tiff,4,1.2215,4.91525,12.4636666666667,3.30266666666667,1.63325,23.5395416666667,1
CT-02,CT-02_image-00097,image-00097.tiff,5,1.21904166666667,5.14504166666667,13.0065833333333,3.26529166666667,1.55375,24.1970416666667,1
CT-02,CT-02_image-00097,image-00097.tiff,6,1.22754166666667,4.979125,12.3652916666667,3.231,1.42879166666667,23.23575,1
CT-02,CT-02_image-00097,image-00097.tiff,7,1.22175,4.94979166666667,12.2990416666667,3.22283333333333,1.41920833333333,23.1152916666667,1
CT-02,CT-02_image-00097,image-00097.tiff,8,1.22358333333333,4.93291666666667,12.4435,3.19475,1.40229166666667,23.1992083333333,1
CT-02,CT-02_image-00097,image-00097.tiff,9,1.216,4.935875,12.2464583333333,3.19841666666667,1.40475,23.0036666666667,1
